staid,station_name,latitude,longitude,elevation,source_file
2479,NETHERLANDS NIEKERK,53.21666666666667,6.35,1,indexCDD_002479.txt
2480,NETHERLANDS NIEUW BUINEN,52.96666666666667,6.95,7,indexCDD_002480.txt
2481,NETHERLANDS NIEUW HELVOET,51.83305555555556,4.116666666666666,0,indexCDD_002481.txt
2482,NETHERLANDS NIEUWENDIJK (NB),51.766666666666666,4.933055555555556,0,indexCDD_002482.txt
2483,NETHERLANDS NIEUWOLDA,53.25,6.983055555555556,-2,indexCDD_002483.txt
2484,NETHERLANDS NIJKERK,52.23305555555556,5.466666666666667,0,indexCDD_002484.txt
2485,NETHERLANDS NOORBEEK,50.766666666666666,5.816666666666666,160,indexCDD_002485.txt
2486,NETHERLANDS NOORDGOUWE,51.7,3.966666666666667,-1,indexCDD_002486.txt
2487,NETHERLANDS OBDAM,52.683055555555555,4.883055555555556,-2,indexCDD_002487.txt
2488,NETHERLANDS OIRSCHOT,51.5,5.333055555555555,16,indexCDD_002488.txt
2489,NETHERLANDS OLDEBROEK,52.38305555555556,5.916666666666667,60,indexCDD_002489.txt
2490,NETHERLANDS OLDEHOLTPADE,52.9,6.05,2,indexCDD_002490.txt
2491,NETHERLANDS ONNEN,53.15,6.666666666666667,0,indexCDD_002491.txt
2492,NETHERLANDS OOST MAARLAND,50.8,5.716666666666667,50,indexCDD_002492.txt
2493,NETHERLANDS OOST VLIELAND,53.3,5.083055555555555,6,indexCDD_002493.txt
2494,NETHERLANDS OOSTERBEEK,52.016666666666666,5.833055555555555,21,indexCDD_002494.txt
2495,NETHERLANDS OSS,51.766666666666666,5.533055555555555,4,indexCDD_002495.txt
2496,NETHERLANDS OUDEMIRDUM,52.86666666666667,5.5,1,indexCDD_002496.txt
2497,NETHERLANDS OVERVEEN,52.4,4.6,7,indexCDD_002497.txt
2498,NETHERLANDS PURMEREND,52.516666666666666,4.95,-3,indexCDD_002498.txt
2499,NETHERLANDS REKKEN,52.08305555555556,6.716666666666667,27,indexCDD_002499.txt
2500,NETHERLANDS REUVER,51.283055555555556,6.083055555555555,27,indexCDD_002500.txt
2501,NETHERLANDS RHEEZERVEEN,52.56666666666667,6.566666666666666,8,indexCDD_002501.txt
2502,NETHERLANDS RILLAND,51.416666666666664,4.183055555555556,1,indexCDD_002502.txt
2503,NETHERLANDS RITTHEM,51.46666666666667,3.6166666666666667,1,indexCDD_002503.txt
2504,NETHERLANDS ROODESCHOOL,53.433055555555555,6.783055555555555,2,indexCDD_002504.txt
2505,NETHERLANDS ROUVEEN,52.61666666666667,6.183055555555556,1,indexCDD_002505.txt
2506,NETHERLANDS RUINERWOLD,52.71666666666667,6.233055555555556,2,indexCDD_002506.txt
2507,NETHERLANDS SAPPEMEER,53.166666666666664,6.733055555555556,0,indexCDD_002507.txt
2508,NETHERLANDS SCHAGEN,52.783055555555556,4.8,0,indexCDD_002508.txt
2509,NETHERLANDS SCHIERMONNIKOOG,53.48305555555556,6.183055555555556,2,indexCDD_002509.txt
